"","klasifikasi","score","text"
"26","Negatif",-1,"tlg bgt ya sicepat saya bahkan blm menginjakkan kaki dirumah knp kamu sdh mendahului"
"27","Negatif",-2,"duh ini sicepat ayoo cepetannn ga sabar gila gue unbox signed gue ðð"
"28","Positif",1,"abis beli barang perkiraan sampe paketnya tanggal  desember sicepat di tanggal  desember  pakeeett"
"29","Positif",1,"sicepat gada obeng klo masalah anterin paket kurirnya juga semangat banget ððð"
"30","Positif",0,"sicepat mana sih kok udh ga cepat lagi"
"31","Positif",0,"sicepat  anteraja"
"32","Positif",0,"gw kl jadi kurir sicepat namanya gk sigesit tp silamban silamban dennis ð"
"33","Negatif",-2,"kalau ga criss cross bukan sicepat namanya"
"34","Positif",0,"sicepat express simulator"
"35","Positif",0,"diihh sicepat gak biasanya nyebelin kek gini"
"36","Positif",2,"skarang jnt lama banget pengiriman nya lebih cepetan id express sm sicepat dlu id express lelet banget"
"37","Positif",0,"gak pakai promo gratis ongkir aja lambat minta ampun padahal barang kamis udah mesti dipakai jne ama sicepat sabtu kirim udah pada sampai hari senin kalau ada opsi ekspedisi lain dipengiriman gak bakalanlah pake jnt"
"38","Positif",0,"ð po  hari ð  via dm  inbox ð cashdanamandirishopeepay ð jntjnetikisicepatcod daerah bandar lampung pengiriman seluruh indonesia"
"39","Positif",0,"jujur sicepat definisi cepatð"
"40","Negatif",-1,"pesen barang ditoko ð dari tanggal  kemarin pake jasa pengiriman  sampe skrg belum juga dikirim ð"
"41","Positif",0,"  industry marketing champion  logistics sector wiwin dewi herawati chief marketing  corporate communication officer pt sicepat ekspres indonesia markplusconference mpc moty"
"42","Positif",3,"si cepat nyebelin banget kebanyakan bertele tele masa perusahaan gapunya data nomor kurir sendiri haduuu ððð "
"43","Negatif",-1,"kalo ada kendala terkait alamat gimana ya  "
"44","Negatif",-1,"namanya sicepat tapi lambat bgt"
"45","Positif",0,"buset  hari doang luv banget sama sicepat ðð"
"46","Positif",0,"sicepat lama bgt dah updatenya badmute"
"47","Positif",0,"pegawai negeri sicepat"
"48","Positif",0,"jadi gini gw beli voucher map di shopee pengirimnya sicepat"
"49","Positif",0,"kalo pake jnt sicepat sesama sby cuma sehari check  skrg besok sampe tp kalo pake jne bisa  hari anjir tt lama kali"
"50","Negatif",-1,"lambat sekarang jne  jnt sicepat ajadah"
"51","Positif",0,"paket jt cek resinya di sicepat"
"52","Negatif",-4,"oh jd gara itu ya pd boikotjne  udh jrg pk jne lg klo ngirim disini skrg siang sore bahkan udh klh sm jnt  sicepat bahkan ga ada  jam udh nyampe pdhl pk yg biasa doank klo jne mesti pk sds klo ga yes wkwk"
"53","Positif",0,"siang sicepat sore jnt malam jne"
"54","Negatif",-4,"jm ada yg sama ga besok minta pickup kurir jnt sama sicepat atau shipper sebelumnya ga pake shipper soalnya ðº"
"55","Negatif",-2,"pasti joss beli paket pake sicepat yehey akhirnya lanjutð  ð karena app memi lagi ada vrus dan semacamnya pakai whatsmock dulu ya gapapa kan"
"56","Positif",0,"macrame mini hanging wall decor beige ð   ð po  hari ð  via dm  inbox ð cashdanamandirishopeepay ð jntjnetikisicepatcod daerah bandar lampung pengiriman seluruh indonesia"
"57","Positif",0,"kurir paling malem ke rumah gue itu sicepat jam   kerja lembur bagai quda"
"58","Negatif",-1,"sicepat emang ga ngotak cepatnya"
"59","Negatif",-3,"bisa ga sih orang yg nerima paket salah tu lngsng telfon nomor yg di paketnya kalo ga merasa pesen tu telfon anjg ni kurir jg bercanda bgt bukannya telfon pas nganter udh jelas disitu alamat   malah dikirim ke   "
"60","Negatif",-1,"ga secepet sicepat yah plis butuh hiburan"
"61","Negatif",-4,"oh jd gara itu ya pd boikotjne  udh jrg pk jne lg klo ngirim disini skrg siang sore bahkan udh klh sm jnt  sicepat bahkan ga ada  jam udh nyampe pdhl pk yg biasa doank klo jne mesti pk sds klo ga yes wkwk"
"62","Negatif",-3,"lucu lucu ketika ada perusahaan yg mau merekrut pekerja diharuskan yg muslim malah dibilang diskriminan dan dikait kaitkan hti lha ð boikotjne ya kelen kan bisa pake   te sicepat kan banyak"
"63","Positif",0,"boikotjne dukungjne bandingbandingin jne sama jt jelas menang sicepat dong"
"64","Positif",0,"sicepat tuh beneran cepat"
"65","Positif",0,"kurir sicepat cikarang utara"
"66","Negatif",-1,"duh ada aja duit gua jadi nyangkut kan capek deh ama tokpedsicepat"
"67","Negatif",-3,"ga habis pikir pake ekspedisi sicepat beliin ibu kompor selang sama regulator dari jkt ke sragen padahal bayar ongkir tuh  ribuan eh barangnya ada yg buka pas di gudang solo"
"68","Negatif",-8,"udah ga pake jne lagi ane sering masalah sama kurir nya sicepat ada jnt ada tiki ada pos ada ternyata ga cuma kurir hrd dan manajemen nya pun otaknya bermasalah klo kaya gini  yang kafir dan nasionalis boikot jne jangan pernah lagi pakai jasa jne"
"69","Positif",0,"trending topic boikotjne udah paling bener sicepat andalan aing"
"70","Negatif",-1,"sicepat kok skrg ga cepat lagi ya ð"
"71","Positif",2,"dear  bisa titip salam sayang buat   salam hormat jg buat  selamat malam juga buat  bgmn kabar   dapet salam dari  ððððð"
"72","Negatif",-1,"jm maaf oot mau tanya gostore kalau pake sicepat tuh emang langsung keluar ya resi nya soalnya baru dapet pengiriman sicepat ðð"
"73","Negatif",-2,"ðð korean thrift shop  narru ðð ð setu kab bekasi ð via jne wahana sicepat jnt ð  req yaaa cod bisa ya tapi dikenakan fee   lokasinya bisa ditentuin dulu ya"
"74","Negatif",-1,"paketan  sudah diklaimkan penggantiannya tapi saya dibentak sama mbaknya gaada minta maaf sama sekali lagiðððððððððð gini banget cabang sicepat yg di pucang sawit ya"
"75","Positif",0,"upsiee bestieee aku beli casing doang lohhð  napa niy kepo skali kyknya"
"76","Positif",0,"sumpah cinta banget sama ekspedisi sicepat beneran cepat aduh love  semoga kamu gak berubah ya"
"77","Negatif",-2,"kalo someday gua dagang sebuah barang yang di paket gua pastikan itu sicepat"
"78","Negatif",-1," di oren dan kirim via cargo sicepat beneran cepet bangetð biasanya bisa sampe seminggu ini  hari aeð terkedjoet"
"79","Negatif",-1,"makasi gue jd gapercaya lagi sm jnt wkwkw sicepat  am comingð  gais ternyata jnt suka ngebobol pkaetngutilin paket perintilan kpop tuh bener adanya paket albumku keluar dari kotaknya bubble wrap bolong terus snacknya diambilin"
"80","Negatif",-1,"ni paket sicepat knp ga geral dari kemarin"
"81","Positif",0,"delivery karma langsung lewat sicepatð  cape bgtt ð"
"82","Negatif",-3,"sicepat smph ganti nama aja kalian jadi siput gak bakal pernah lagi pake ekspedisi ini bye"
"83","Negatif",-1,"halo min  aku seller paket dengan  resi  tolong segera di pick  ya"
"84","Positif",0,"pake sicepat lamaaaa bener dah"
"85","Positif",0,"hah hyedasnya udah otw rumah pls sicepat ini pake apaan baru dikirim kmrn malem"
"86","Positif",0,"name"
"87","Positif",0,"mending sicepat  time"
"88","Positif",1,"ada apa neeeeeh kok boikotjne maklum aku lebih sering pake sicepat soalnya bebas ongkir kalean  lewaat tokped atau shopee"
"89","Negatif",-1,"welok btul sicepat ga nyasar"
"90","Negatif",-3,"jasa pengiriman kayak      ga punya data alamat customer yg pake jasa mereka yg belanja online  kasian ama kurirnya pas sortir barang ga taunya salah antar kan bolakbalik trus brng yg diantar benyek"
"91","Positif",0,"udah sampe anjirtt cepet bgt dah sicepat  penantian gue dari bulan september akhirnyað"
"92","Positif",1,"daripada boikotjne mending boikotanteraja aneh juga di tokped utk pilihan shipping  day cuman bisa anteraja padahal ada sicepat yg lebih bagus"
"93","Positif",0,"sicepat terbaiq si sejauh ini"
"94","Positif",4,"guys maaf mau tanyaaa aku kan baru pertama  dapet orderan di tokped hehe ini untuk barangnya cuman bisa minta dipickup aja yah gabisa dianter langsung ke sicepat kayak kalo di shopee jm"
"95","Negatif",-1,"sicepat kok lambat"
"96","Negatif",-4,"gak usah boikotan jne sekarang udah makin sepi customer sukanya kalo bukan sicepat ya jt persaingan usaha biasa meski sumpek juga karyawannya"
"97","Positif",0,"padahal padang ke riau cuma jam  lebih tapi ngirim pake sicepat udh  hari belum nyampe jganjir"
"98","Positif",0,"ð hai mau kasih tau kalau di gostoreku sudah bisa shipping menggunakan sicepat yaa âºïðð"
"99","Positif",2,"sicepat emg dari dulu kenapa selalu gitu ya paket dah dateng tapi gamau nganter ke rumahh mesti dianggurin dulu  harian ckck"
"100","Positif",1,"sicepat halu udah gak cepet lagi masa  minggu baru nyampe apa apaan iniðð alasan gue milih sicepat halu kan karna supaya cepet huft tau gitu jnt eco aja sekalian  minggu noh"
"101","Negatif",-1,"min  saya beli makanan kucing dari tokped dan datengâ kayak ginið kurir bilang kemungkinan digigit tikus di penyimpanan gudang di pucangsawit surakarta tapi admin malah bilang tolong divideokan waktu unboxing biar bisa diklaim ke seller"
"102","Positif",0,"anjir sicepat emang cepatðððððð"
"103","Negatif",-1,"sicepat ih ngaco bgt emang ini paket gue kelindes gajah apa gimanað"
"104","Positif",2,"untung gw udah pindah ke sicepat ð boikotjne"
"105","Positif",0,"  using jne    sicepat terbaikkkk bgt sicepat tuhhhhðððð"
"106","Positif",1,"yang mau joki tulis dikirim fisik bisa banget di aku dikirim pake ekspedisi jnt sicepat jne atau bisa dikirim sameday pake gosend daerah jabodetabek free ongkir ga berlaku pake gosend luar jabodetabek aku subsidi  ini khusus orderan    zonauang"
"107","Positif",0,"sicepat sicepat  mesan barang yg hrsnya dipake harinii eh besoknya bru nympe"
"108","Positif",0,"kapok pake jne yes sehari sampai malah  hari sampai padahal lagi butuh cepet kejadian bukan sekali dua kali untung sekarang sicepat masih yang terbaik boikotjne"
"109","Positif",1,"tumbenan banget sicepat ngaret biasanya paling lama siang udah dateng"
"110","Positif",0,"    jokes buyin stuff  th nov  im   receiving  stuff   imagine  stuff idle    fuckin city   days   happened    "
"111","Negatif",-1,"kebiasaan pake sicepat pas pke jnt kok lama bngt yaað"
"112","Positif",2,"sicepat memang cepat jos mantab"
"113","Negatif",-4,"halo  saya awalnya ga mau berburuk sangka sama ekspedisi anda tapi kalo kejadiannya berulang dan sama setiap kalinya ada yang angkat bicara saya jadi tidak bisa berpikir baik tolong dengan sangat perbaiki kualiatas pelayanan anda"
"114","Negatif",-2,"ga lagi deh pake sicepat lama bgt paket gua sampe"
"115","Positif",0,"waduh sicepat knp jadi silambat "
"116","Negatif",-4,"kenapa pd heboh boikotjne ya kan emg pemiliknya kaum org aneh konservatif lagian pelayanan juga jauh lebih bagus jt sama sicepat"
"117","Positif",1,"capek banget emang kalau seller udah pake ekspedisi   udahlah status nya gak update barang juga gak sampe sampe"
"118","Negatif",-1,"emang paling bener pake sicepat pake jnt barang nyangkut di sortir ga berubah statusnya"
"119","Negatif",-3,"sicepat bae wis atheis  orapapa ttp olih kerja wkwk  lagi rame boikotjne buzzer sampe segitunya cari duit biar netizen yg nilai deh fto kanan dan kiri "
"120","Negatif",-1,"yang butuh jasa admin packing bisa coba dm aku yaa aku dom bekasi shopee adaâ rumah deket sicepat jne wahana jntâ"
"121","Positif",0,"kenapa kau tak secepat yang kemaren  ððð"
"122","Positif",1,"jne biasanya pake sicepat reghalu cuman  hari ini bisa  hari itu juga gatau dah sampe apa engga anjim emang penjualnya cuman ada pilihan jne doang apes apes dahhh"
"123","Negatif",-1,"ora melu melu boikotjne karna kurir itu yg slalu gua pake selain sicepat"
"124","Positif",0,"name"
"125","Negatif",-10,"walau banyak rintangan dan penolakan dalam setiap usaha yang kita lakukan bukan berarti kita harus menyerah jadikan setiap penolakan sebagai motivasi untuk menjadi lebih baik lagi jadi teruslah semangat ya sahabat dan jangan pernah menyerah ð sicepatekspres kutipansicepat"
"126","Positif",1,"hehehe untung pake  boikotjne"
"127","Negatif",-3,"ini maksutnya gimana si cek resi diliat udah nyampe ditangerang tapi ga sampesampe rumah sicepat lagi overload apa gimana ya padahal pake cargo biasanya sehari udah sampeð"
"128","Negatif",-4,"oh jd gara itu ya pd boikotjne  udh jrg pk jne lg klo ngirim disini skrg siang sore bahkan udh klh sm jnt  sicepat bahkan ga ada  jam udh nyampe pdhl pk yg biasa doank klo jne mesti pk sds klo ga yes wkwk"
"129","Negatif",-3,"gw pake jnt dan sicepat kaga pernah  ternyata pendana ormasnya briziek pantes temen gw yg kerja di jne fatmawati kadrun semua tukang sebar hoax boikotjne"
"130","Positif",0,"apanih jnt dari bandung ke jakarta jam  malem sampe skrng gasampe sicepat jam set dari bandung udh nyampe payah bat jnt"
"131","Negatif",-1,"tumben sicepat lambat"
"132","Negatif",-2,"tumbenan ini sicepat dari jatim sampe hampir seminggu selak kepo sama bajune elah"
"133","Positif",0,"sicepat bianya  hari sampe nah ini udah seminggu belom nyampe dih"
"134","Positif",0,"emng bagus pengiriman   bagusan juga  gk bnyk bcot tau udh nyampe paket nya wkkwk boikotjne jnesara"
"135","Positif",1,"sicepat udah gak cepat lagi anjrot"
"136","Negatif",-1,"drama hampir kena tipu oleh pembeli shopee mp shopee exp sicepat "
"137","Negatif",-5," pesanan sebelum jam  dikirim hari sama kec po  resi gstre cek berkala di email yang kalian isi diidentitas jnesicepat muncul resi  jnt paling lama  stlh brg dikrm lbh cpt keluar resi drpd ekspedisi diatas  sblm co liat co pake ekspedisi apa baca poin "
"138","Positif",0,"baguslah si tokped free ongkirnya pake anteraja lagi daripada sicepat kurirnya ga ramah banget asli tiap dibilang terima kasih ga pernah respon ð"
"139","Negatif",-3,"diluar isu radikalisme  jne benar merupakan jasa kirim terlemot dan terburuk yang pernah saya pakai terbaik  sicepat  antareja  jnt boikotjne"
"140","Negatif",-1,"gak juga sih biasanya pake jnt atau sicepat jne lebih mahal dan lelet soalnya  sok boikotjne tapi pas check  nyari  juga ð kamibersamajne"
"141","Positif",0,"minto  brg ak blm aj  pick  nih sm   resi nya "
"142","Negatif",-1,"parah banget dah  udh  hari telepon ke cs nya juga ga ada perkembangan apa kalau emang ga mau kirim paketnya udah kasih ke  aja nanti ongkirnya saya ganti"
"143","Positif",0,"hola   cuma mau nambahin alamat jl kancil jl guru muhyin   lenteng agung jakarta selatan takut si gesit nya bingung thx ya"
"144","Positif",0,"wahh jne ya padahal disini dia paling rajin jemput paket tapi sudahlah boikotjne balik ke  aja "
"145","Positif",2,"asli sicepat beneran cepet banget anjir kirim kemaren hari ini dah nyampe padahal estimasi  hari"
"146","Positif",1,"sicepat memang mantap"
"147","Positif",0,"pake sicepat lama "
"148","Negatif",-2,"ngapain boikotjne  dari sisi harga saja auto gua boikot maaf ya ekspedisi favorit gue wahana dan sicepat wahana ongkir paling murah sicepat mahalan dikit tapi pengiriman cepat  tanpa hari libur"
"149","Negatif",-1,"trending boikotjne kirain krn srvicenyatp tnyta krn buzzer tp jjur gw  jtr pelaynnya burukjauh lebih baik sicepat cargodg waktu pengiriman dan dr kota yg smsicepat antar paket lebih cepat jauh sekali dg jtr yg smpe skrg blm nyampe "
"150","Negatif",-3,"untung nggak pernah pake jne ð pake ya jt sicepat waduh kecepetan paxel atau gosend wakakakakkk udah agak males juga maenannya begini si radikul tukang hujat ð boikotjne"
"151","Positif",1,"sicepat yang beneran cepat"
"152","Positif",1,"mending  dong bismillah iphone  pro boikotjne"
"153","Negatif",-1,"jne udh tenggelam sejak dekat sm ustad dan ulama gadungan kadrun yg sempet viral  lalu sejak itu org udh jarang pake jne lg org skrg pakenya jt sicepat anteraja dll nasib jne sudah seperti bukalapak nyungsep  speechless âï"
"154","Negatif",-1,"wait    using jne bruh sicepat lebih superior ð paket cepet murah paketnya ga pernah dibobol pula kek jne pas gue beli keyboard dulu ðð"
"155","Negatif",-3,"komplain ke cs sicepat jg mereka kekeh uda dihubungin ga bisa ya yg dihubungin nomor yg lagi masalah uda dikasih  nomor lain yang  standby ga ada info apapun tuh"
"156","Positif",1,"sicepat ini gue baru pesen kmrn lho gileeee"
"157","Negatif",-5,"tolong yg rasis diputus jadi mitra  ya drpd diboikot ntar repot jasa begini udah byk boss buat yg lain    dll jgn ikutan rasis ya  jadi nya  cuman mau nerima yang beragama islam doank ya"
"158","Negatif",-2,"ini kok paket saya ga dateng ya dari sabtu loh harusnya udah sampe "
"159","Positif",1,"gw jg udah lama kaga pake jne lagingeri juga yah kalo sebagian profitnya kalo di sumbangin ke teroris lagi pake sicepatanteraja idexpres boikotjne boikotjne boikotjne boikotjne boikotjne boikotjne"
"160","Positif",0,"tmi pagi pcr gue bangunin gue lewat kurir sicepat"
"161","Positif",0,"emang paling mantep sicepat nii estimasi tanggal  tanggal  udah datang"
"162","Negatif",-1,"hai  dan  gratis ongkir nya dari  sehari bisa sampe ini   sabtu hari ini selasa belum nyampe padahal sama gratis ongkir bukanmaen"
"163","Positif",1,"sicepat masih andalaque service regulernya sangat tidak amanah maaasssaaa bilangnya sampai dalam  hari besoknya udh sampe kan jadi enak  speechless âï"
"164","Positif",0,"halo kaaa mau nanya paket saya hilang itu kelanjutannya gmn yaaaa "
"165","Negatif",-1,"pantesan sicepat op parah persiapan pengiriman aja dari jam  subuh ðº"
"166","Positif",2,"lowongan kerja pt sicepat ekspres posisi  admin finance kualifikasi   pendidikan ds semua jurusan  dapat mengoperasikan ms office  dapat bekerja secara individu team  memiliki kemampuan analisa yang baik selengkapnya di"
"167","Positif",0,"kurir  lebih cepet dr sicepatð"
"168","Negatif",-1,"sicepat emang suka lama gini ya"
"169","Positif",0,"mana dianter sicepat mana domnya di jkt"
"170","Positif",0,"kecelakaan tragis di sambungmacan sragen mobil ekspedisi  ringsek gasak jembatan sampai berputar  derajat begini nasib sopirnya"
"171","Positif",1,"pelayanan terburuk sepanjang masa ribet pertanyaan gitu aja dikirim tidak ditanyain terus iya ðª buat emosi aja menunggu paket gak jelas "
"172","Negatif",-2,"sak karepmu  gw udah gak pake jne dan gak bakalan pernah pake lagi sekarang jadi pelanggan setia "
"173","Positif",0,"barutau gua kalo truk nya sicepat mesti konvoi smp deret  mana kenceng pula ngebut kpj baru bs ngeblong lucu liatnya"
"174","Negatif",-2,"duh kemarin  yg ngga jelas sekarang  ðµâððµâððµâð ini ngga ada konfirmasi apa di tulisnya malah begini kacau bgt sih padahal tertulisnya di terima sblm tgl  skrg udah tgl  dan ada notif reschedule dgn customer pdhl ngga ada sama sekali info"
"175","Positif",0,"sekarang gue malah overthinking nasib paket gue aduh sicepat cepetan dongg kirimnya ntar keburu basi dijalan ð"
"176","Positif",1,"fakk pantes aja kmrn ada feeling buat pake sicepat aja jgn jnt gataunya paket   semua org pada ngestuck anjjj"
"177","Negatif",-1,"jm sekarang kalo minta pick  udah gabisa dijemput kurir eksedisi langsung ya aku tadi pake sicepat tp yg dateng dari shipper id padahal kemarin pake sicepat yg dateng kurir sicepat yg biasa pick  pake pihak ketiga jadi lama "
"178","Positif",0,"lebih pilih yang mana antara sicepat tapi tak tepat atau silambat namun tepat"
"179","Negatif",-3,"halo onwer  yang lagi butuh admin packing aku bersedia ya âïsudah pernah pengalaman packing untuk jualan pribadi âïrumah deket ekspedisi jne jnt shopee express sicepat âïfee bisa dibicarakan dulu ðdom tangerang yang  bisa gedor dm ku terima kasihðð"
"180","Positif",1,"sicepat bohong banget katanya perkiraan sampai ke garut itu  hari eh ternyata sehari udah mendarat di garut yg gak ada mcd itu wkwkwk aku juga kangen kapan share link ngumpul lagi deh ð  aduuuh seharian uringuringan krn lg pms tibatiba dapet amunisi tak terduga dari istri kak sangyeon cabang cibuburðâ hahahaha kakk makasih banyaaak aku kangeeeenðºðº "
"181","Negatif",-2,"kurir sicepat bener ya pas bgt sama meme surprise mother fuer wkwkwkk jam  sore masih di jakut jam segini uda sampe kantor yg di tangersng wkwkww"
"182","Positif",1,"kaget banget ada barang datang soalnya estimasi pertengahan desember baru datang bener ya sicepat ini halu kaya namanya thanks dehðð"
"183","Positif",0,"nama  tidak mencerminkan kecepatannya hufff"
"184","Positif",1,"sicepat lo    cepet banget   fuck physics  album  coming yawss"
"185","Negatif",-1,"bisa ternyata luv  sicepat  kalo  paket minta pickup sicepat bakal diambil ga sie"
"186","Positif",0,"sicepat kok tumben letoy nih ð"
"187","Negatif",-1,"kr mau tanya ada yang pernah proses interview di sicepat "
"188","Positif",0,"sicepat di rumah gua beneran cepat guys mantap dah"
"189","Positif",0,"macrame keyringbag keychain motif  rainbow ð   ð po  hari ð  via dm  inbox ð cashdanamandirishopeepay ð jntjnetikisicepatcod daerah bandar lampung pengiriman seluruh indonesia macrame walldecor decor keyring accessories"
"190","Positif",0,"sicepat tolong cepatsi barangnya mau dipke besokkkk"
"191","Negatif",-1,"sicepat beneran cepet bgt ya"
"192","Negatif",-1,"jm seller gostore ada yang pernah gini ngga ðð udah minta pickup ke moka shippernya dari hari jumat tapi katanya pickup gagal terus malah otomatis dibatalkan ksl bgt sm sicepat payah bgt responnya mau nangisðð"
"193","Positif",0,"drama kurir minta foto ktp exp sicepat mp tokopedia ps kalau cuma sekedar minta lihat ktp untuk memastikan identitas penerima sih masih wajar tapi kalau ada yang minta foto ktp itu sekarang siapapun pasti waswas sauce  cc "
"194","Positif",0,"min  ngapa nih nggak biasanya begini udah seminggu lebih nunggu kaga nyampe ð"
"195","Positif",1,"sicepat memang cepat"
"196","Negatif",-2,"ya allah anteraja ini kenapa seh kalo pakai jnt atau sicepat dari tangerang hari sabtu pasti senin dah datang ini senin masih di hub tangerang coba gila apa"
"197","Positif",0,"lowongan kerja pt sicepat ekspress indonesia posisi  kurir freelance kualifikasi   pendidikan minimal smp  memiliki motor maticbebek  siap bekerja saat hujanpanas  memiliki hp android minimal ram  selengkapnya di"
"198","Negatif",-1,"kalo  paket minta pickup sicepat bakal diambil ga sie"
"199","Negatif",-1,"paket gue knp ga dateng dateng  sicepat kok lama banget ya"
"200","Positif",1,"minta pickup paket si cepat dah dari kemarin tapi nggak ada respon dari kurirnya dan nggak cuma sekali trus kalau kayak gini gunanya ada pilihan pickup apa "
"201","Negatif",-1,"pakai dua ekspedisi berbeda sabtu samasama dikirim dari jakarta senin pagi sampai untuk kali ini sicepat kesalip dulu ama jne"
"202","Positif",0,"lah kok jadi tawaf "
"203","Negatif",-2,"jm ada yg pernah minta resi ke shipper tapi katanya belum diubah ke hubless jadi ga muncul  resi nya custku pake sicepat tp kenapa yg jemput dari pihak shipper ya padahal biasanya yg kurir sicepatnya"
"204","Negatif",-3,"sicepat kok tumben lama ya ada yg sama juga ga si ð"
"205","Negatif",-2,"hari jumat checkout belanjaan dr  shop  pakai ekspedisi berbeda kirim dr jkt ke ntt dan ekspedisi yg paling memuaskan yaitu   krn hr ini paketnya udh sampai cuma  hr dong  yg lainnya dgn xpdc lain malah statusnya msh jauh maaciw  ððð"
"206","Positif",1,"mau tanya buat seller terutama yg di daerah bandung kota yg di tokonya ada pengiriman sicepat itu harus chat kurir dulu atau ntar otomatis ada kurir yg datang ya"
"207","Positif",0,"padahal udh dipakein sicepat reg"
"208","Negatif",-1,"sicepat emg bener ya baru kmrn bgt  hari ini dah otw rumah"
"209","Negatif",-1,"kenapa ya sicepat udh jarang di shopee"
"210","Positif",0,"lowongan kerja pt sicepat ekspres indonesia"
"211","Negatif",-1,"plis   kalo saya  pake nya  aja jgn pake  lama bgt bisa kan disetting akun nya biar ga pake "
"212","Negatif",-3,"pagipagi dibikin kesel  titik antar udah pas ehh kitanya disuruh ganti perasaan jnt jne ngga pernah kayak gitu alasan ngga masuk akal"
"213","Positif",0,"ayo sicepat   magic"
"214","Positif",0," sama tanggal  sicepat udah nyampe anter aja masi di hub jakarta terbaik emang anteraja ini kalo soal lama ð"
"215","Positif",0,"name"
"216","Negatif",-2,"kebiasaan pake sicepat kl ga anteraja skrg pake jnt jd kerasa lama bgt"
"217","Negatif",-4,"emang bangke nih  tinggal akuin aja kalau kurir kalian salah apa susahnya cari alesan mulu ternyata kurirnya ngaku kalau mereka yg salah ganti aja sicepat jadi silambat"
"218","Positif",1,"aduh shopee udh gratong nya cuma subsidi  pengirimannya gabisa pake sicepatjnt lagiðââï"
"219","Positif",3,"halo  paket ke manado dikirim dari jakarta kok mampir ke surabaya dulu itu maksudnya kenapaa"
"220","Positif",1,"cen gokil tenan pie kui min wingi tak telpon lho nganti meh tak jupuk dewe nganti saiki ra ono konformasi "
"221","Negatif",-2,"baru kali ini kecewa sama  paket dari hari jumat masih stuck biasanya  hari juga sampai udh isinya makanan feelingku keburu basi di jalan deh"
"222","Positif",0,"sicepat emg cepat ya"
"223","Negatif",-3,"dan tidak dkkirim lagi ini varangnya hilang atau gimana ya tanya ke cs akan dimaksimalkan apa gini ya usaha maksimalnya hanya janji saya barang tak kunjung datang dah  kali paket dikirim ulang dan tanggal  tidak ada progress  "
"224","Negatif",-1,"sumpah ya sicepat lo aneh anj"
"225","Positif",0,"masak iya kirim paket pake  bisa sampe alamt eh pake  keterangannya bad address pdhl mpe patokan kode pos udh gw kasih smua lengkp bangt malahan"
"226","Negatif",-1,"eh si cepat reguler sama cepetnya ama sicepat halu ga sih"
"227","Negatif",-2,"jelek parah "
