,x
430,Ini aman gasiii ngedrop off paketan tanpa resi di sicepat @sicepat_ekspres. Si mba2 nya nyebelin anjir ga kaya yg sblmmya yg biasa disitu
431,SiCepat emg gila woy ekwkdjsj dikirim tgl 2 sekarang udah di tangan ðŸ˜­ðŸ˜­ðŸ˜­â¤ï¸â¤ï¸ padahal dari JKT ke Jogja biasanya 2/3hr
432,hi guys aku dpt cctv dr sicepat nih ðŸ‘€
433,Ini orang gudangnya @sicepat_ekspres kepo banget ya isi paket orang sampe kotak sepatu saya dirobek begini? Hadehh
434,ABANGG SICEPAT KMNN SII??!!
435,"SiCepat sih cepetnya ga ngotak loh. tanggal 2 dipesen, tanggal 3 nyampe. padahal dari sukabumi ke jakarta. Salut dah salut ðŸ™"
436,sicepat >&gt;&gt;
437,"Kalo Sicepat jadi lambat 2 hari gini trs, sore pulak. Mending gw balik pake J&T. J&amp;T konsisten walau 2 hari setidaknya pas pagi udh sampe. Bete bgt loh udh jam segini ga dateng2. Bikin ga mood bgt seharian grgr nunggu paket"
438,Memang sicepat dan j&t udh paling bener
439,sicepat pake buroq gue rasa ðŸ˜‚
440,Sicepat mulai melambat ini.
441,"min, paketku kok ga jalan-jalan ya dari 30 nov Ï€ Ï€ @sicepat_ekspres"
442,sicepat kl nganter paket serem banget
443,"sehat selalu mas sicepat yg kasih cia bukti iniðŸ¥º RT @bobabyowl: update : dapet dm dr yg kerja di sicepat jakarta (jd alurnya : bekasi - jkt - jawa tengah kan) , di jkt paketnya memang sudah 0.05 kg ðŸ˜Œ dengan polymailer ðŸ˜‰ next ke jaticempaka yah guys"
444,sop sicepat emg gini kah?
445,cek dm dongg min @sicepat_ekspres
446,geh! ada yg kerja di sicepat lampung daerah wayhalim? aku anter paket ke counter pagi tadi kok belum ke update sama sekali. coba cari di ig no cs lampung ga nemu
447,kurir sicepat sungguh menguji kesabaran..
448,"Checkout dua barang di waktu yg sama, tapi nyampenya beda hari. Sicepat unggul 1-0 dari J*t ðŸ‘Œ"
449,Admin cek DM dong @sicepat_ekspres
450,"Dari dari gambar berikut mimin kepo nih gambar apa sih yang pertama kali kamu lihat? ðŸ¤” Coba dong tulis di kolom komentar, apa sesuai dengan kepribadian kamu? Selamat mencoba ya ðŸ˜‰ #SiCepatEkspres #BersatuUntukMudah #TestKepribadian"
451,"Biasanya kalo aju banding gini, si seller dimintain video dia boxing paketnya apakah sesuai dgn yg dimasukin, dan klo udh dikonfirmasi sama sicepat kalo isi paket berbeda, BIASANYA buyer yg menang, uang balik ke buyer. RT @bobabyowl: jef sumpah yg dana splitpay itu ambil aja aku udah ikhlas, tp tolong yg shopee ini gausah segala ditolak dong ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡"
452,"buat @sicepat_ekspres , tolong kurir yg jahil suka bongkar paket, tolong dipecat aja!!!!! ALBUMKU MELENYOT ANJIR"
453,cek dm min @sicepat_ekspres
454,"tolong dinotice ya thread ini. seller kalian ada yang tukang tipu @ShopeeID cc: @sicepat_ekspres RT @bobabyowl: help rt! scammer / penipu nendoroid haikyuu gudangjeff / jeffcollect on shopee haikyuxsale on tokped (changed name) +62 878-3108-7726 (dana, shopeepay) beli nendo dikirimnya gery salut 1 biji doang ðŸ˜‰"
455,Ini sicepat kenapa si sekarang respon pickup lama bgt
456,"Sumpah baik banget ðŸ˜­ mas sicepat moga berkah RT @bobabyowl: update : dapet dm dr yg kerja di sicepat jakarta (jd alurnya : bekasi - jkt - jawa tengah kan) , di jkt paketnya memang sudah 0.05 kg ðŸ˜Œ dengan polymailer ðŸ˜‰ next ke jaticempaka yah guys"
457,"Kemarin lagi trending pake sicepat kalo dia bener2 cepet, ternyata beneran wkwk dari surabaya ke semarang ngga ada 24jam."
458,kayak nama doang sicepat bangsat
459,sicepat lo tolol bgtv
460,"tolong di bantu dong @ShopeeCare @ShopeeID @sicepat_ekspres RT @bobabyowl: help rt! scammer / penipu nendoroid haikyuu gudangjeff / jeffcollect on shopee haikyuxsale on tokped (changed name) +62 878-3108-7726 (dana, shopeepay) beli nendo dikirimnya gery salut 1 biji doang ðŸ˜‰"
461,tabe ada yang punya kontaknya kurir sicepat reg area tamalanrea? makasih
462,Orang luar pulau Jawa can't relate meme meme sicepat.
463,"Drama Chat Mesum Kurir SiCepat MP: Tokopedia EXP: SiCepat ps: Udah bosen jadi kurir mungkin Lebih jelas di:  cc: @sicepat_ekspres cc: @tokopedia , @TokopediaCare"
464,"Sialan, Saking seringnya nganter paket, kurir @sicepat_ekspres uda tiga kali ini ga pernah nanya/bilang kalo mo nganter paket. Tiba2 uda ada barang aja di depan kamar ðŸ˜‚."
465,"selain mention @ShopeeID @ShopeeCare tolong bantu mention @sicepat_ekspres yaa! karena seller ini masih ngotot mengirim barang yg sama & punya bukti kirim! kalo bisa sicepat bekasi jaticempaka angkat bicara &amp; memberikan bukti spt cctv yg akan sangat membantu kami RT @bobabyowl: @sicepat_ekspres min, krn seller dari shopee ini ngotot sudah kirim barang sesuai foto yg dia berikan, selanjutnya masalah ke sicepat. tolong bantuannya untuk hubungkan ke drop off point Bekasi Jaticempaka untuk memastikan apa benar Jefry Lombardy ini mengirimkan paket sesuai?"
466,"Ini #SiCepat atau #SiLama... Padahal pake layanan yg ""BEST"" hari itu jg nyampe jam kerja lho kok dah kayak Reguler..... Halah.....Halah...."
467,Terbaik sicepat ini kemaren malam dikirim hari ini nyampe
468,woi cepat sicepat spa muk ikut opfoll RT @convomf: Saya mau opfoll siang
469,cek dm @sicepat_ekspres
470,kurir sicepat emang beneran cepat banget ðŸ˜­ semalem paket masih di jkt sekarang udah dateng?! biasanya padahal bakal di kirim besokannya
471,cepet nyampe dong ah elah @/sicepat_ekspres
472,"kurir sicepat yg anter paket ke rumah kalian, suka ngefoto gasih?"
473,"Dalam rangka memperingati Hari Menanam Pohon Indonesia (HMPI) dan Hari Bakti Pekerjaan Umum (Harbak PU) ke-76 tahun, SiCepat Ekspres turut mendukung terselenggaranya kegiatan Gerakan Nasional Pemulihan Daerah Aliran Sungai (GNPDAS). Link :"
474,Kecewa banget sama @sicepat_ekspres
475,"Tolong dong, paket orang jangan seenaknya dirobek kayak gini. Isinya jilbab, kain lho, kalau dirobek pake cutter apa nggak takut barang tuh rusak? Padahal di resi toko oren udah ada detail nama barangnya. Nggak cuma sekali aja ðŸ˜¤@sicepat_ekspres"
476,Total ada 10 paket dibawa oleh sicepat semuaðŸ˜… mana kurirnya sama lagi. Mantap bgt TokopediaðŸ‘
477,"Pake ekspedisi sicepat aman gk yaaaa, takut bngt ðŸ˜“"
478,Sad bgt alamatku gbisa dipake buat sicepat
479,Dah jelas alamat e BLT ðŸ¤¬ðŸ¤¬ðŸ¤¬ @sicepat_ekspres whyyyyyyy ðŸ˜©
480,"biasa aja, palingan juga yg ngesave no gua rata2 kurir jne, jnt, sicepat, driver gofood, shopefood wkwk RT @convomf: ðŸ’­ risih ga kalo ada yang stalk getcontact kalian"
481,Haloo @sicepat_ekspres paket dengan resi 002836973997 sudah sampai mana? Kalo deket saya jemput urgent please ðŸ™
482,"Akhirnya kecepatan @sicepat_ekspres melambat. Teamnya di kota #Makassar tidak sanggup berakselerasi dengan tim di #Jakarta. Mental tim #Makassar telah terpuruk, lambat dan acuh. Awal keterpurukan perfom #sicepat jatuhnya sang #jawara. @MediaKonsumenID"
483,"halo! ada yang lagi butuh admin packing? aku bisa nihâœ¦ â† dom jakarta selatan â† dekat ekspedisi pengiriman (jnt, shopee express, sicepat) â† bahan bisa dari aku atau dari kalian â† sudah pernah packing pc 3Ã— â† fee bisa dibicarakan kalau minat bisa langsung dm @peachnty ya^^"
484,"klo pake kurir ID express di shopee knp kek berasa lama drpd jnt,sicepat, dll ya"
485,sicepat ayo tunjukkan kecepatan mu
486,"J&T emang ga secepat Shopee Express sama SiCepat. Tapi gatau gue nyaman aja pake J&amp;T, ga pernah ada kendala sama pelayanan mereka. Ditambah abang J&amp;T yang biasa anter bisa diajak kompromi kalo paket yang dateng ke rumah udah kebanyakan dia mau gue suruh untuk anter ke kantor ðŸ˜­ðŸ˜­"
487,Sebel deh sicepat kenapa lama bgt si ngirim paket?
488,mrie siang ini ke sicepatðŸ˜€
489,"sicepat nih emang cepet gemes gw. order ss semalem jam 8, barangnya udh sampe di rumah. udah kek pake gojek sameday ðŸ˜Œ"
490,"sicepat mohon kerjasamanya, smg paket sy g dibobolðŸ˜”"
491,"BINGUNG SAMA SICEPAT, GILIRAN MINTA Y XPRESS KIRIMKNYA LAMA BANGET ! KACAU.. KALAH AMA REGULER @sicepat_ekspres ampun dahhhh"
492,min @sicepat_ekspres hurry up pickup paket shopee buat resi 002837345560
493,sicepat sing ora cepat-cepat amat. ngising
494,Pertama kali paket gw salah kirim ama SiCepat ðŸ˜¬ðŸ˜¬ðŸ˜¬ Well...
495,"Alahamdulillah pengirim aksesoris alat fitness lancar, kami melakukan pengiriman melalui JNE, JNT, GoSend, SiCepat, Gojek dan Grab. jika barang ingin di kirim hari ini maka pembayaran sebelum jam 14.00 yaaa gaissðŸ˜ðŸ˜ kami akan melayani dengan sebaikâ€¦"
496,Sicepat kargo kok lama banget yaa.. tanggal 1 udah sampe gudang kargo daerahku tapi sampai skrg belum dikirim ke aku T____T Harusnya kemarin tuh dikirim gak sih? Masa di gudang didiemin aja gitu seharian???!
497,"Ada yg paketnya pake sicepat ga sih, sumpah udh 6 hari statusnya cuman menunggu proses pengiriman masa :("
498,Sicepat kecepetan anjir ðŸ˜­
499,Gangerti lagi sama bercandaannya pegawai sicepat satu ini ðŸ™ƒ
500,Wehh seneng bgt gue sicepat mau buka di rempoa udah ada plangnyaaa tinggal nunggu buka. Jadi gausah jauh jauh lagi dah ke prapatan durenðŸ˜­ðŸ‘
501,"Kalo kalian ada ongkir yang dipotong dari saldo penjual, kudu di usut pokoknya. Aku ngurus dari tanggal 28/29, tanya cs shopee, cs sicepat, follow up terus karena yakin barangku ngga seberat ituðŸ¥² mari kita lihat apakah senin selasa dananya balik"
502,Capek dehhhh @sicepat_ekspres
503,"love you sicepat, mataku langsung melekâ˜º"
504,tumben sicepat lama bgt 3 hari sesama jkt
505,"Emang sicepat keren bgt, barang dr jkt dikirim ke bandung pagi hari, malemnya udah sampe. hebattt ðŸ‘"
506,"Lowongan Kerja PT Sicepat Ekspres Indonesia Posisi, Lokasi, Kualifikasi dan melamar buka link:  â€¢ ""GABUNG DI CHANNEL TELEGRAM ðŸ‘‰  (GRATIS)"""
507,"Min ini kenapa ya ngestuck kaya gini udah 2 hari, ga dikirim kirim ke alamat @sicepat_ekspres"
508,ðŸ’­ ada yg pernah pake sicepat-best gaa? itu biasa berapa hari sih nyampe nya
509,sicepat tolol
510,SICEPAT KOK PAKET BUYER GW BELOM SAMPE JUGA SI
511,sicepat apanya cepat ðŸ˜“
512,SiCepat emang cepat âœ¨ @sicepat_ekspres
513,"Bales woi jan diem aja @sicepat_ekspres Jangan kasih jawaban template lg atau ngasih info yg sebenernya udah ada di website dan bisa saya cari sendiri, gak guna"
514,"Edan 2 hari ga ada pergerakan sama sekali, paket lain yg make ekspedisi lain malah udah nyampe, yg bener aja tolong dong wkwkwkwkwk @sicepat_ekspres kalo seller nya ga asal ganti jasa ekspedisi saya udah males urusan sama sicepat sebenernya. Ini resinya 001609726013"
515,hi @sicepat_ekspres kenapa paket saya stuck di satu tempat ya dari kemarin dan ga bergerak dari titik terakhir padahal udah sehari :))
516,"Buat seller gostore mau tanya dong, klo ekspedisinya sicepat, emang langsung dpt resi ya? Bukan cuma shipper id aja? Maaf ya br pertama buka store soalnya. Makasii jm"
517,"kurir sicepat yg biasa nganter paket ke rumah tuh ibu2 sama suaminya gituu selalu boncengan, trs tiap ke rumah blm sampe depan rumah bgt udah teriak2 â€˜caaa caaa pakeeetttâ€™ beneran sekeras itu kek emak2 nyuruh anaknya makanðŸ˜­"
518,"ðŸ”¥PROMO GOSTORE DESEMBER CASHBACK 25/30/50/90ðŸ”¥ - Pengiriman dari Yogyakarta - Subsidi ongkir 20k - Ekspedisi JNE/JNT/SICEPAT/GOSEND â—Disarankan tidak memilih gosend, karena biasanya lebih lama sampai (tergantung cuaca) dan sering ada kendala di titik mapsâ—"
519,Macrame KeyRing/Bag KeyChain Motif C Rainbow. ðŸ’° Only 11k ðŸ“¦ P.O 7 Hari ðŸ’¸ Order via DM or Inbox ðŸ’Œ Cash/Dana/Mandiri/Shopeepay ðŸš› JNT/JNE/TIKI/SICEPAT/COD daerah Bandar Lampung Pengiriman Seluruh Indonesia #macrame #walldecor #decor #keyring #Accessories
520,"Kalo begini caranya Ran Haitani gue kapan sampenya??? Paket dikembalikan-paket menuju tempat anda-paket dikembaikan.. padahal alamat gue dah jelas bgt, aslian kapok bgt pake sicepat"
521,Ngakak baca chat sama sicepat ðŸ˜­ðŸ˜­ RT @seokjinjuseyyo: 114. kasian dikit
522,"Dari jakarta doang ke maros perlu waktu lebih dari seminggu, ga lagiÂ² gua make @sicepat_ekspres .. sistemnya halu"
523,sicepat
524,Sicepat oh sicepatttttttttt Sebenernya kasian sama bapak2nya ngirim paket jam 10 malem gini Tapi ya jangan ditaruh depan rumah juga dongðŸ˜­ Mana tau kalo ada paket... Untung bapakku yang nemuin pas mau masukin sepeda ðŸ˜­
525,"asli lama2 ini anteraja bisa jadi JNE part 2 kalo selambat ini, masih mending sicepat sebenernya tapi ya namanya gratis ongkir harus terima risiko"
526,pake sicepat beli sekarang nyampe kemarin
527,"SiCepat cepet banget dah, paling lama paling 3 hari, kalo dibandingin sama yang sebelah 3 hari itu baru nyangkut di Jakarta Timur"
528,SICEPAT pengirimannya benar2 cepat ðŸ˜†
529,"nangis bgt 4paket gue dishopee semua pengirimannya beda kurirðŸ˜­ðŸ¤£ yg satu j&t, anteraja, sicepat, shopee express. Dan semuanya dikirim hari iniðŸ¥²"
530,3-7 di sicepat. Tgl 12 nya event anteraja. Mntp.
531,"baru kali ini kurir paket datengnya jam 10malem, terbaek emangg sicepat wokwowkowk"
532,"Bales dm gua dah @sicepat_ekspres RT @sweetlies231: Paket saya di pending mulu. Apa perlu disamper nih? Ga amanah banget, jelek tahu engga service lu. @sicepat_ekspres"
533,ngerampok pc terussssss. mau buka GO kah? @sicepat_ekspres RT @eoleunoia: dan beneran pcnya ga ada ðŸ™‚
534,"Paket saya di pending mulu. Apa perlu disamper nih? Ga amanah banget, jelek tahu engga service lu. @sicepat_ekspres"
535,halo tolong tanggung jawabnya ya @sicepat_ekspres RT @eoleunoia: dan beneran pcnya ga ada ðŸ™‚
536,"Sifasttttt kelakuann lo bener-bener yee kerja lo gmna siihhh @sicepat_ekspres ambil pc org hshshh :) kelakun kelakuan RT @eoleunoia: ya ampun kirain ga akan ngerasain kayak gini. ternyata ngerasain juga â˜ºï¸ liat yaaa ini box udah jelas bgt KEBUKA, solatipnya jg keliatan digunting. tolong dong gimana ini @TokopediaCare @sicepat_ekspres"
537,Halooo @sicepat_ekspres mau tanya dong
538,"ya ampun kirain ga akan ngerasain kayak gini. ternyata ngerasain juga â˜ºï¸ liat yaaa ini box udah jelas bgt KEBUKA, solatipnya jg keliatan digunting. tolong dong gimana ini @TokopediaCare @sicepat_ekspres"
539,Nyesel pake anteraja mending sicepat deh aelah
540,"memang sicepat ga pernah ngecewain ya aku baru order barang kemarin malam, hari ini udah sampe. estimasi tibanya padahal masih besok aaaaa sayang banget sama ekspedisinyaðŸ˜­ðŸ’œ"
541,"random banget tiba-tiba kangen oh mess kalo acara award gini yang ngumuminnya bagai sicepat estimasi tanggal 3, dia nyampe tanggal 1"
542,GILA SICEPAT BUANTER GET
543,ada yg pernah jualan di tokped? kalau mau ajuin free ongkir cuma bisa sicepat dan anteraja ya? J&T gabisa?
544,akhirnya stlh sekian lama g bisa pake sicepat skrng bsa. Kangen bgt pake sicepat
545,Pengalaman @sicepat_ekspres
546,/wal ini knp ya? Btw ini pke sicepat halu
547,Pake sicepat ngirim dari cimahi ke bandung biasanya berapa hari?
548,Itu cewe lu apa gerai sicepat? Ampe dimana-mana ada.
549,"berawal dari kesel karena di spam, jutek jawab telfon karena kirain penipuan. ternyata beneraaannn ðŸ¥²ðŸ‘ðŸ¼ thank youu @sicepat_ekspres ðŸ¥³â¤ï¸â¤ï¸"
550,Kayanya harus pindah ke Sicepat dulu~
551,"p ini gimana deh,soalnya seller udh aktifin sicepat sama id express kok ttp gabisaðŸ˜­"
552,"Beli tanggal 1, estimasi datang tanggal 3 dan malam ini udah di Tegal wkwk beneran @sicepat_ekspres ðŸ˜ðŸ‘ðŸ»"
553,"sicepat cepat juga ternyata, keren"
554,Sicepat ngegas banget tadi pagi masih di Bandung?!!!!
555,KECEWAAAAA!!!! NI SICEPAT DIAPLIKASI MASI SAMPE JAKARTA TAU2 DAH SAMPE RUMAH AJAAA ðŸ˜¡ðŸ˜¡
556,"jjur gue baru ngirim 2 paket anjirr yg satu pake sicepat yg si jnt. nah yg jnt ni kan ikut error jga jdinya takut kenapa2 ðŸ˜­ðŸ˜­ðŸ˜­ RT @sungjinhyung: Guys shopee data center nya kebakaran, dont do any transaction dlu for the time being ya just in case"
557,Ampun deh sicepat
558,yahh pertamakali kecewa cuy pake sicepat :( estimasi 2 desember nyampe ditungguin ini sampe maghrib ga nyampe2 trnyata dibalikin ke ancol ðŸ™‚ðŸ™‚ rumah w di ciracasss hufttt tolong bgt besok mau dikasih buat perpisahan puskes ini barangnya ðŸ˜¢
559,frustasi nyari 2 cabang sicepat ga nemu2
560,Daftar Alamat Kantor Sicepat Ekspress Jepara - Daftar Alamat Terbaru
561,Daftar Alamat Kantor Sicepat Ekspress Kabupaten Kudus - Daftar Alamat Terbaru
562,"[Notice] Halo! Untuk yang pesanannya pakai ekspedisi ini mungkin kita delay 1 hari ya karena no. resinya ga keluar dari tadiðŸ˜¥ Untuk yang mau order hari ini, disarankan pilih ekspedisi Sicepat dulu yaðŸ˜Š Hope it'll be solved soon ðŸ¥º Thank youðŸ’›"
563,"anteraja makin parah ya, masih daerah jakarta-tangerang-bekasi dari kemarin tuh 2 hari loh. apa mereka lagi ada perubahan internal atau gimana deh? bekasi jarak toko hanya 3-5km tapi hari ini belum sampai ckckck. while sicepat semarang-bekasih sehari, anteraja can't relateðŸ‘ðŸ‘„ðŸ‘"
564,ni nanti tbtb sicepat nongol di depan rumah ðŸ™‚
565,#LokerBDL Lowongan Kerja Lampung Admin Finance Sicepat
566,Kecewa banget dah aku sama lu @sicepat_ekspres
567,Teman2 nanti pilih sicepat y
568,ayo dong paketku pakai seicepat best udah 3 hari ga dipickup-pickup :( @sicepat_ekspres
569,hehehehehe paket baru sampe kok udah kebuka gini? @tokopedia @sicepat_ekspres
570,Min @sicepat_ekspres untuk nomor resi 002837850825 mohon segera di pick up ya. Sampai sekarang belum ada kurir yang datang tapi statusnya begitu di ShopeeðŸ˜¤
571,ini dia nih ðŸ˜­ bisa ga ya minta data oengirim ke sicepat ðŸ˜­ sumpah lemes bgt RT @kotaroudaily: @Bokuakachi kak dipaketnya ada alamat pickup ga?
572,Sicepat tumben lama dahhhhh t_t
573,Wow sicepat nih sungguh cepat bikin orang emosyyyi
574,"Buset dah sicepat estimasi besok baru dikirim td siang, barusan udh sampe kaget wakðŸ¤£"
575,sumpah sicepat kok lo lama bgt anjiirr sampe skrng ga sampe sampe
576,"OPEN PO NCT 127 MERCH FAVORITE Close PO: ~sold out âœ… Include est. EMS+Tax âœ… Sealed âœ… Pelunasan di INA âœ… Freebies ðŸ“Harga merupakan harga estimasi ya, bisa naik atau turun tergantung berat dan tax Pengiriman J&T dan Sicepat (ongkir dicek manual) Atau CO di Shopee ongkirâ¬‡ï¸"
577,"OPEN PO ATEEZ SEASON GREETINGS 2022 Close PO 1 : 10 Des Close PO 2 : 26 Des Book slot 50k, DP 300k 760k âœ… Est. EMS+Tax (1.5 kg) âœ… Sealed âœ… Pelunasan di ina âœ… Freebies â—ï¸ Berat diestimasikan tinggi supaya tidak tibatiba berubah jauh Pengiriman J&T dan Sicepat (ongkirâ¬‡ï¸â¬‡ï¸"
578,OPEN PRE-ORDER ATEEZ - Album [ZERO : FEVER EPILOGUE] Close PO 1: 4 Des 21 Close PO 2: 9 Des 21 Pilih Versi: A/B/C 305k âœ… Freebies âœ… EMS + TAX âœ… Pelunasan saat di INA âœ… POB âœ… Sealed Pengiriman J&T dan Sicepat (ongkir dicek manual) Atau CO di Shopee ongkir otomatisâ¬‡ï¸â¬‡ï¸
579,admin @sicepat_ekspres resi no 002837804887 kok masih belum di pick up ya?
580,OPEN PRE-ORDER KEP1ER MINI ALBUM VOL. 1 [FIRST IMPACT] Close PO 1: 3 Des21 Close PO 2: 13 Des 21 290k/album (random ver.) Set: 850k âœ… Freebies âœ… EMS + TAX (500gr) âœ… Pelunasan saat di INA âœ… Harga bersih âœ… Sealed Pengiriman J&T dan Sicepat (ongkir dicek manual) â¬‡ï¸â¬‡ï¸
581,"OPEN PO ENHYPEN SEASON GREETINGS 2022 Close PO 1 : 5 Des Close PO 2 : 18 Des Book slot 50k, DP 300k 790k âœ… Est. EMS+Tax (1.5 kg) âœ… Sealed âœ… Pelunasan di ina âœ… Freebies â— Berat diestimasikan tinggi supaya tidak tibatiba berubah jauh Pengiriman J&T dan Sicepat (ongkirâ¬‡ï¸â¬‡ï¸"
582,OPEN PRE-ORDER CECI x LEE DONG HAE Close PO 1: 5 Des 21 Close PO 2: 19 Des 21 960k | DP 500k âœ… Freebies âœ… Est. EMS + TAX 1.5 kg âœ… Pelunasan saat di INA âœ… Harga bersih âœ… Sealed Pengiriman J&T dan Sicepat (ongkir dicek manual) Atau CO di Shopee ongkir otomatis oleh Shopeeâ¬‡ï¸
583,cape ga nemu sicepat
584,Sicepat yang tidak cepat
585,sicepat yang ga cepat2 amat
586,sicepat tolol bgt anjing
587,"Sicepat sesuai namanya,emang cepet banget wkwk estimasi tiba tanggal 3-6 Desember tanggal 2 udah nyampe aja paketnya wkwkðŸ¤£ðŸ˜‚ðŸ˜‚"
588,"sicepat pengen gue maki dah, kemarin ga gerak. ini pagi taunya paket gue salah dikirim dan ga gerak lg -_-"
589,cek dm min @sicepat_ekspres
590,Ini si cepat gimana sih? Nge lacak paket kok paketnya bolak-balik doang isinya dari kemarin. Cs di telp no gabisa -_- @sicepat_ekspres
591,Dear @sicepat_ekspres kenapa ya kurir nya ga mau anter paket sampe alamat? Kenapa kami customer harus ngambil di agen? Kalo kayak gini harusnya ongkir dipotong ga sih?
592,"#anteraja Min paket dengan nomor resi 10002922101939 dari tokopedia bandung, sampe mana ya. Karena terkahir update status pengiriman kemarin siang. Masa lama banget dr Bandung ke Jakarta. Kalau sicepat biarpun reguler dikirim kemarin siang hr ini sampe"
593,"halo! ada yang lagi butuh admin packing? aku bisa nihâœ¦ â† dom jakarta selatan â† dekat ekspedisi pengiriman (jnt, shopee express, sicepat) â† bahan bisa dari aku atau dari kalian â† sudah pernah packing pc 3Ã— â† fee bisa dibicarakan kalau minat bisa langsung dm @peachnty ya^^"
594,Kenapa sicepat jadi lama ya? Malah anteraja yang nyampenya secepat kilat. ðŸ˜‚ðŸ™‚
595,hallo @sicepat_ekspres
596,"dear kak @sicepat_ekspres mohon informasi untuk resi ini 002771274346, apakah masuk pengantaran hari ini atau besok yah kak?Tks"
597,"Sicepat tutup ajalah sono, dah 2x beli barang berhari hari kaga dipickup ama kurirnya cok"
598,Terakhir kali pakai @anteraja_id. Mau lu hilangkan itu barang juga terserah. Penting uang balik. Untung di shopee masih bisa ubah pengiriman. ditokopedia mendingan COD dapet @sicepat_ekspres!
599,Nyesel asli pilih j&t. Harusnya kmrn pilih sicepat aja
600,"Dear Sahabat SiCepat, Saat ini Call Center kamu sedang mengalami gangguan link telepon. Untuk menanyakan seputar paket kamu bisa menghubungi ke nomor 021-5082-0030 atau melalui whatsApp : 0813-1920-0030 / 0812-9966-6088. Email : costumer.care@sicepat.com"
601,"WTS (Want To Sell) PC BTS x TOKOPEDIA âœ… Jimin âœ… Jin âœ… Taehyung ðŸ“All good condition ðŸ’°100K cashback 40K gopay ðŸ“Tangerang Selatan â­•ï¸ Cuma bisa via gostoreâ—ï¸(gratis ongkir sampai 20K, kirim via gosend/sicepat/jnt) tags wtb wts pc bts tokopedia photocard jin jimin v ina"
602,halo @sicepat_ekspres boleh minta tolong lacak ga? 002836868672 terus kenapa pending ya paketnya
603,"Pengiriman hari ini udah selesai yaa, sicepat udah di pickup, tinggal jnt nunggu mang kurirnya pickup. Makasiii, semoga barangnya sampai dengan selamat ke alamat yg dituju~ ðŸ¥°"
604,tapi hemat sicepat nga sampe 2 minggu kaya jnt plis
605,"gatau deh, sicepat sistem pengirimannya pake teleport kayanya"
606,Emang meningan jnt dah drpd sicepat
607,"Customer service nya @sicepat_ekspres lagi libur deh kayanya, di telfoninnya dari 2 jam yang lalu masih aja sibuk terus"
608,sicepat benar benar cepat
609,Emang pake sicepat tuh bener2 cepet sekarang di kirim tiba2 besok pagi udah dateng tuh pake padahal tulisannya masih di tempat sortir :)
610,Sicepat yang tidak cepat hadooohh
611,HEH TERLALU CEPAT INI KEBANGETAN DEH ðŸ˜¡ðŸ˜¡ SELLER JUGA GERCEP BGT NGEMASNYA @sicepat_ekspres
612,Halo kak admin @sicepat_ekspres boleh tolong cek DM? Thanks beforeðŸ™ðŸ»
613,Ini gara-gara atmos tiba-tiba milihin pake sicepat jd terpaksa berurusan lg sama sicepat
614,Halo min @sicepat_ekspres kalo Bandung timur sortstation itu alamatnya dimana ya?
615,Lowongan Kerja PT SiCepat Ekspress Indonesia Posisi : Kurir Freelance Kualifikasi : * Usia maksimal 29 tahun * Pendidikan minimal SMP * Memiliki HP minimal RAM 3 * Memiliki SIM C Selengkapnya di:
616,"Hi Sahabat Sagitarius! Menurut Ramalan #SiGesitHoroskop, bulan Desember ini akan menjadi bulan yang penuh kebahagiaan bagi Sagitarius, setelah beberapa bulan sebelumnya melewati beberapa tantangan. Mana nih sahabat Sagitarius? Komen dulu yuk ðŸ˜‰ #Sagitarius2021 #SiCepatEkspres"
617,"halo min, tolong cek resi 002837779804 gak gerak terakhir di jakarta utara @sicepat_ekspres makasih minn"
618,"plis pilih ekspedisi sicepat jgn jnt, cape masalah mulu heyðŸ˜­"
619,sicepat fix pake buroq
620,Tolong jangan spam dong di WA @sicepat_ekspres sering bener ngirimin ginian.
621,Kuris sicepat sunggu simpleðŸ¤£ðŸ¤£
622,Demi allah sicepat kenapa siiiii
623,kenapa sih setiap ngirim paket ke sicepat selalu ditanya isinya apa gua deg2an soalnya isinya pc anjir...
624,"Anteraja ni bikin emosi terus njir, udah sampe di SS knp g langsung dianter kurir coba, mana setiap pesen di tokped g pernah dpt sicepat -_- apesla"
625,WTS (Want To Sell) PC BTS x TOKOPEDIA (event terbaru / november) PC TOKOPEDIA Jin Seokjin HOLO Good condition Price 50K Gostore only (freeongkir up to 20K via sicepat/jnt) tags wtb wts bts tokopedia photocard jin seokjin ina
626,sicepat yg tidak cepat lama bgtttt ih ditungguin juga
627,Tumben dah lama banget sicepat
628,"gila yaaa sicepat nih, jkt-solo sehari nyampe HAHAHAH gokil"
629,"Min @sicepat_ekspres sigokil nya beneran menggokil min, masa seharian gak ada update"
630,"Sesuai ekspektasi, garcep gaspol sekali ðŸ˜³. Udah Kayak ekspedisi sicepat euy."
631,Tumben deh ini sicepat lama bgt ðŸ¥² kado nih masalahnya mana belum dibungkus
632,Ini sicepat kok tumben lama yak
